log_id,user_id,search_word,product_id,search_time,dt
6f851156-6ac7-4644-ac72-6fc87155fb30,746,零食,90,2025-01-06 20:59:21,20250106
945b3414-7526-48be-894f-243206110f5f,99,礼盒装,46,2025-01-08 17:07:03,20250108
c1113830-28b2-43a3-8008-834f8d3f89b0,271,礼盒装,23,2025-01-26 13:10:11,20250126
bb0fbc3b-e3c5-4ba7-a666-be5cbc326df5,878,爆款,4,2025-01-23 16:16:50,20250123
60410eb5-6889-4cbc-8149-e6e923c5b0f8,927,水果,45,2025-01-23 20:27:59,20250123
fc1b7120-1ef7-4f35-a43e-7716111daa0e,138,饮料,76,2025-01-19 13:44:08,20250119
afffa544-6842-406d-9b94-1beb9769ccea,285,礼品,50,2025-01-16 20:44:43,20250116
00c29567-b2d4-4552-a448-c679d9f9e4d7,173,新品,44,2025-01-03 14:47:35,20250103
abfa2797-eb2c-42a0-89d6-18ecb317a47e,181,水果,15,2025-01-23 11:18:14,20250123
a680cc34-fd5f-4982-9e39-06bb8a797fb9,359,热卖,95,2025-01-23 23:10:17,20250123
64756b32-a5cf-4651-9223-4aba26e9be8a,180,饮料,68,2025-01-02 19:04:32,20250102
587bcb31-ef88-4220-b163-23fc84480c08,117,国产,66,2025-01-21 09:35:26,20250121
9d4291b3-0718-449a-801b-06c766523d45,205,特价,29,2025-01-01 23:58:07,20250101
dfb79454-b5be-4677-abda-2fd3c28b704d,201,礼盒,34,2025-01-31 17:28:55,20250131
ba21f7cd-500d-4366-a3eb-6ecf1a626ca2,708,新品,60,2025-01-05 09:56:57,20250105
7bc65814-897d-4e27-867b-6c22958e6e67,583,新品,75,2025-01-02 15:27:23,20250102
25d99697-bf25-4ff8-9c32-7764432e5dee,505,健康食品,62,2025-01-06 18:30:01,20250106
59ad5098-c5cb-4a17-879d-2e9d801017aa,717,爆款,91,2025-01-27 13:38:00,20250127
af1b8cba-cba2-42a6-aa2b-95597b73d70d,910,水果,94,2025-01-14 10:57:56,20250114
bbdc3fcb-65ed-4563-9d71-78a3eb62dd0b,666,网红,62,2025-01-15 12:58:05,20250115
ceccecf6-ddf2-4e60-b4a3-bf5e33ee94f2,742,水果,50,2025-01-02 13:44:27,20250102
89bf6d72-b66d-466d-bbc3-5979ebbf1eac,707,儿童,24,2025-01-16 10:24:58,20250116
9ae59a41-f23e-418f-8d70-1c4c253e8e88,149,促销,11,2025-01-27 23:03:09,20250127
69c60ef6-2538-4396-98ca-069e6ce08407,100,零食,69,2025-01-02 13:26:10,20250102
499cd0eb-b600-4c5f-aad2-4b08373d6a16,855,健康食品,3,2025-01-07 08:35:13,20250107
1f085646-110e-4a3f-a726-8f73ff0f8bca,232,年货,74,2025-01-25 10:19:45,20250125
885fdf48-e5cd-4f93-887b-d32eba01efb7,801,特价,32,2025-01-08 16:53:04,20250108
b0158f33-240c-40da-8e28-e89596fc4560,529,散装,22,2025-01-03 10:45:56,20250103
f6152b5b-9abc-4e3d-acb7-4dba55a759f3,237,水果,30,2025-01-08 09:30:52,20250108
82bb4998-0d45-4c14-b190-3564c7ae76e1,554,成人,61,2025-01-19 22:09:36,20250119
783b568d-519e-4691-b8e3-1083948c7a0e,953,国产,10,2025-01-27 13:33:28,20250127
bc7f32b5-9fef-4219-a59d-95c70d267913,874,网红,65,2025-01-07 09:19:09,20250107
692552b0-5680-4cad-813d-bfa8dfb83a14,24,礼盒装,1,2025-01-16 20:32:57,20250116
58999280-1d64-4bb4-99a1-090fd0466815,757,国产,79,2025-01-01 23:52:43,20250101
5164b1f9-0711-4bc1-8d90-6762cd8151d5,472,国产,95,2025-01-14 17:10:45,20250114
070c7bfb-06f9-4474-b55d-5e2281c4e6b0,378,礼盒,48,2025-01-02 22:33:50,20250102
ab5610b8-f4d6-474d-a6c5-95d535a7ff5c,537,特价,40,2025-01-08 10:12:58,20250108
f05054e3-1a9a-480a-8252-3eb87e00cbe3,883,国产,81,2025-01-31 10:14:07,20250131
767d0896-9481-409a-8a8f-a41f107820d6,689,特价,90,2025-01-21 16:16:34,20250121
2df4a56f-8883-46a0-89b2-562dc561e754,969,健康食品,86,2025-01-04 19:16:17,20250104
66731ce4-96f7-4003-82a4-33151bf45271,43,健康食品,48,2025-01-08 14:16:16,20250108
cc5d181f-0945-4818-a8ec-a67de46e1e9f,937,水果,2,2025-01-23 19:50:21,20250123
b94f7d75-c216-4335-8dab-ed2c63628f2c,106,国产,13,2025-01-17 12:40:52,20250117
