order_id,product_id,sku_id,user_id,pay_amount,pay_num,pay_time,category_id,dt
bb75bc66-14d4-4cde-858d-e4c7200f20d4,24,809,249,754.55,5,2025-01-28 18:21:30,5,20250128
91a53fc9-25f0-420e-99a8-9aeaa36cc9bb,2,373,617,165.3,5,2025-01-20 16:33:12,4,20250120
b473475c-0614-462d-ba12-5502d1b716fb,81,887,878,834.4,5,2025-01-18 15:52:23,7,20250118
4f2a5549-40c1-4fa6-8f4e-4d54ba9326b9,52,36,772,172.64,4,2025-01-25 19:33:18,4,20250125
90df6966-c9be-418c-8614-a3d41023ee1d,21,662,696,140.76,3,2025-01-10 14:55:26,2,20250110
d1336c2f-35bd-4459-8fc2-94af67c9786d,1,53,459,21.68,2,2025-01-24 15:40:29,2,20250124
a663c07a-ec5f-40b0-a250-07fd0ee966c6,65,567,533,364.29,3,2025-01-04 17:51:40,2,20250104
8fb0b964-1fa2-4c73-b518-eec93a75e85b,75,942,681,124.66,1,2025-01-15 22:21:03,5,20250115
7552b13a-692c-4abc-8d82-e6785508ccab,85,75,259,167.9,1,2025-01-05 09:31:21,1,20250105
de5ae6e2-36dc-416b-9665-4a82a4023aec,7,647,214,424.29,3,2025-01-13 21:57:37,3,20250113
aeee8568-3f02-4ced-a091-908fcd40ef4e,34,538,507,142.56,4,2025-01-19 09:40:25,4,20250119
ac696c26-d28e-4fcf-be01-1c0aec23ad6f,20,479,845,486.51,3,2025-01-07 18:10:02,1,20250107
05b190e4-992d-4655-91ca-4f53c7e6177e,88,863,651,276.62,2,2025-01-29 21:17:00,4,20250129
f64bb5e2-7cf6-4675-9bc9-6398d349b4c0,70,907,767,336.65,5,2025-01-04 18:30:05,8,20250104
724396ef-ca36-4545-8791-65f9d94785e4,24,232,776,301.82,2,2025-01-22 09:07:04,5,20250122
f0c75e53-f8cb-4f76-8dfc-193ab7a4ddb4,79,91,634,557.44,4,2025-01-13 16:58:11,4,20250113
5d10ae52-31fc-4305-b532-fa8d0a67bf26,17,741,654,109.61,1,2025-01-26 19:16:59,3,20250126
f6de93e9-ec95-4737-b85d-3b42c2f7f205,54,182,68,702.56,4,2025-01-25 15:26:42,4,20250125
f9e6a604-d225-46c8-8931-045487c719b2,29,393,454,388.76,2,2025-01-01 16:44:36,5,20250101
1b6df52f-22a7-42cc-95c9-bc6892901c1d,90,37,254,976.85,5,2025-01-11 15:23:08,3,20250111
1a1a8f45-b8f4-4ea1-b15e-f3b5a0b58064,98,772,12,56.74,2,2025-01-04 19:57:57,1,20250104
407ee4f9-1457-4ee3-b9a2-c6941ef8b3e9,50,101,227,428.7,5,2025-01-21 09:04:47,7,20250121
ff9aeb0c-42e2-4ff3-af7d-650b335b386b,73,49,860,187.04,1,2025-01-06 10:21:10,3,20250106
4a323fa1-4e26-478e-b74e-0d2187dce7b6,95,200,729,536.16,4,2025-01-31 16:18:04,1,20250131
2182af61-66d8-4215-ba0c-05d16a6398b8,71,518,823,126.49,1,2025-01-23 13:13:02,8,20250123
5916fa9f-883c-436d-b450-f61ffb168e71,85,225,408,167.9,1,2025-01-10 11:35:54,1,20250110
c5d4287c-6870-49c7-aac0-f946058b5c8f,39,482,288,92.7,3,2025-01-16 11:13:08,3,20250116
9c34869c-9877-44a3-9880-82d3b5b3db69,7,637,441,141.43,1,2025-01-16 10:02:24,3,20250116
24d59909-c824-4838-9cff-646082c4c9c0,59,719,907,928.65,5,2025-01-15 19:15:31,5,20250115
49b9908e-4b06-4d15-9021-1052e806e171,16,672,41,74.91,1,2025-01-20 11:04:16,6,20250120
85262f03-d0f0-417d-8db3-3959447c2845,78,1,677,294.15,5,2025-01-02 16:10:51,3,20250102
62ba0484-25a3-425c-9236-02cc3ba48856,69,13,672,57.52,1,2025-01-09 16:39:51,4,20250109
314a95b1-9594-45af-a0c6-dd7ce23210c3,45,606,477,151.2,3,2025-01-04 16:03:47,1,20250104
ba2f2f76-a489-424a-a283-8eff6bf96516,95,69,645,670.2,5,2025-01-21 22:43:27,1,20250121
592c6adc-e41f-4db7-b43f-5187c123704a,58,496,908,37.93,1,2025-01-12 16:48:23,1,20250112
7de7952e-2dbf-47ff-b3a7-6982960cd778,52,619,649,129.48,3,2025-01-08 21:46:14,4,20250108
8f7a177f-c431-4019-ac6f-ca58bcb01e2c,36,448,86,931.2,5,2025-01-19 21:46:58,2,20250119
c94423b1-fd83-40d8-b9b2-923d80cba6bf,98,620,598,141.85,5,2025-01-27 09:52:37,1,20250127
ec1faa0a-0e70-4bde-85ed-3f5f32502c49,62,914,553,453.3,3,2025-01-27 19:13:47,1,20250127
a3e8ff77-801e-410f-a886-0f60f9f03ce5,21,286,551,46.92,1,2025-01-23 22:25:20,2,20250123
feeccaba-ba00-423f-a0cc-5c748c2e90e7,28,273,899,241.89,3,2025-01-01 13:20:53,2,20250101
72f8fb47-4636-446e-b5e4-5aa7e6212f05,70,201,807,67.33,1,2025-01-07 09:16:39,8,20250107
34cca5b8-05ff-4d57-b9c9-db1f1a2d2acf,4,221,976,193.64,4,2025-01-15 22:02:00,2,20250115
8828161b-c440-47e6-b71e-18e78c5eba15,34,941,208,106.92,3,2025-01-25 16:22:21,4,20250125
bcd01a40-2f8f-4e89-87bd-ae10749fdd4c,56,325,972,185.71,1,2025-01-26 20:49:39,2,20250126
4a01b1dd-5df1-4d60-ab4a-462fff3d947f,44,240,483,120.15,1,2025-01-14 12:33:08,4,20250114
3651702e-73d3-4e59-82a3-e5b45edbebf4,82,455,198,155.59,1,2025-01-28 22:09:52,6,20250128
a676f14f-d23f-4d19-9efd-b0480548c0a5,21,139,821,187.68,4,2025-01-27 21:22:32,2,20250127
64f6d124-81b1-48f5-a2a6-cc3f3524cdf6,88,536,558,138.31,1,2025-01-31 11:24:14,4,20250131
b082a815-c711-4a7a-8e57-37868f641a89,34,143,911,178.2,5,2025-01-25 09:50:47,4,20250125
48b84f62-73bb-4b32-9b43-2551c8fe8a01,89,169,171,194.91,1,2025-01-23 17:45:27,7,20250123
470f6802-99fe-4193-9639-f87c2ea76c11,39,306,62,61.8,2,2025-01-25 14:32:01,3,20250125
c28af361-1abd-4067-a155-d0986cb3c2f4,100,864,130,589.32,4,2025-01-13 14:43:53,6,20250113
c08c432c-575d-47e5-8805-d709b58d0376,14,848,109,985.6,5,2025-01-03 10:08:28,5,20250103
dfa6950c-b150-4998-9331-6307606f6404,13,971,922,570.72,4,2025-01-01 18:33:57,4,20250101
3fc9b16a-e3a8-46a1-9ed6-31343c64a1b2,17,218,156,328.83,3,2025-01-14 12:58:23,3,20250114
80c0be06-421a-42ff-ba3e-b4e4baadd62d,84,754,75,27.69,1,2025-01-30 15:30:12,1,20250130
d15a0b83-3d21-472b-9d39-4d55245894cf,51,927,539,336.4,4,2025-01-01 16:48:00,1,20250101
92ca4f6d-c0de-4520-888c-495ee28b9abb,95,575,104,402.12,3,2025-01-21 15:17:26,1,20250121
c4f11d04-0b82-40a2-82d6-41b4e188fa5b,45,713,438,151.2,3,2025-01-10 16:56:15,1,20250110
845b1b16-165c-47bc-93ce-3b5f50d36147,82,839,191,466.77,3,2025-01-18 18:21:12,6,20250118
6d69b5ea-190c-4096-8648-e24672535674,57,791,597,501.0,5,2025-01-11 11:20:29,7,20250111
1b70e108-8adb-4d05-a995-2c7e91a07799,63,708,831,414.16,4,2025-01-27 18:40:44,8,20250127
1840f963-825a-4d4f-ae1a-a2931433e9a4,74,475,398,61.28,1,2025-01-25 12:43:53,6,20250125
08caa318-6514-4162-94e6-ddec7f640a4e,93,134,673,345.12,2,2025-01-21 15:02:14,1,20250121
7f2016f2-5a33-4c54-a738-1a735e894bfe,13,786,904,142.68,1,2025-01-16 20:53:01,4,20250116
15d2a2de-6c59-4e9d-84a5-e0aec44700ea,8,798,360,47.76,1,2025-01-20 14:45:41,3,20250120
