product_id,product_name,category_id,price,stock_num,price_strength,dt
1,商品001,2,10.84,4606,2星,20250101
2,商品002,4,33.06,1779,5星,20250101
3,商品003,2,120.55,620,1星,20250101
4,商品004,2,48.41,8379,5星,20250101
5,商品005,1,114.87,8990,4星,20250101
6,商品006,4,93.14,4694,1星,20250101
7,商品007,3,141.43,5671,3星,20250101
8,商品008,3,47.76,5614,1星,20250101
9,商品009,2,79.7,5981,3星,20250101
10,商品010,5,162.57,7627,5星,20250101
11,商品011,2,194.77,6320,1星,20250101
12,商品012,5,166.89,6025,5星,20250101
13,商品013,4,142.68,850,2星,20250101
14,商品014,5,197.12,3914,1星,20250101
15,商品015,7,59.92,6109,2星,20250101
16,商品016,6,74.91,4469,1星,20250101
17,商品017,3,109.61,4110,2星,20250101
18,商品018,8,79.6,9225,2星,20250101
19,商品019,6,169.5,1016,2星,20250101
20,商品020,1,162.17,6672,3星,20250101
21,商品021,2,46.92,9392,3星,20250101
22,商品022,4,133.15,6539,4星,20250101
23,商品023,3,57.38,4140,5星,20250101
24,商品024,5,150.91,7119,5星,20250101
25,商品025,7,76.22,2366,5星,20250101
26,商品026,8,23.63,871,1星,20250101
27,商品027,3,127.71,7016,5星,20250101
28,商品028,2,80.63,9863,4星,20250101
29,商品029,5,194.38,288,1星,20250101
30,商品030,5,155.1,5658,1星,20250101
31,商品031,5,90.33,7533,1星,20250101
32,商品032,5,194.54,3001,5星,20250101
33,商品033,2,174.87,4954,5星,20250101
34,商品034,4,35.64,2746,5星,20250101
35,商品035,1,122.19,8105,1星,20250101
36,商品036,2,186.24,5138,2星,20250101
37,商品037,1,52.72,9395,1星,20250101
38,商品038,2,147.98,1241,5星,20250101
39,商品039,3,30.9,7887,5星,20250101
40,商品040,3,57.41,7032,2星,20250101
41,商品041,4,144.3,6598,3星,20250101
42,商品042,8,180.52,7497,1星,20250101
43,商品043,4,49.58,5673,1星,20250101
44,商品044,4,120.15,217,1星,20250101
45,商品045,1,50.4,614,3星,20250101
46,商品046,2,105.74,4662,4星,20250101
