log_id,user_id,product_id,visit_time,visit_source,dt
39b7aabe-b620-4913-bfb3-f1b9ac4fc35b,773,73,2025-01-31 20:31:29,直播带货,20250131
50c8fdf7-38fc-4d34-b043-8386f2c36686,579,83,2025-01-15 21:59:56,推荐算法,20250115
bf82e094-2d55-494e-a101-0bf5248a8777,324,20,2025-01-20 10:55:40,内容广告,20250120
d7605566-2d40-4343-bb48-a724febd6e3a,311,36,2025-01-03 15:28:40,直播带货,20250103
52d1b2b5-7d40-4899-9862-2b25edafdebd,318,60,2025-01-02 11:32:04,内容广告,20250102
c8dbab60-2c64-4cf8-b6a0-66f61af02c48,294,10,2025-01-02 01:23:53,推荐算法,20250102
75820d74-5470-4995-88cd-ab1d8362cae3,520,50,2025-01-28 02:39:38,内容广告,20250128
9fa8b2a8-7b7b-40bd-9f98-e0b245bf34dd,918,6,2025-01-19 17:50:47,内容广告,20250119
adcffaf5-c025-4fc4-8b59-d048e53c3b9e,330,78,2025-01-30 18:41:12,内容广告,20250130
d709c8e6-04f0-48d2-833a-b9c749a17de2,106,44,2025-01-17 04:03:28,推荐算法,20250117
088f7890-9bc8-425d-9b44-2ed82f304d09,41,32,2025-01-03 16:41:11,推荐算法,20250103
0cfc36c9-8336-483b-a3a1-9859bb9b7bdf,625,21,2025-01-15 14:33:33,站外广告,20250115
1e7158c1-88fe-4459-86ad-fa9e70714ace,794,44,2025-01-12 09:24:26,推荐算法,20250112
e9045b94-3b3c-4f3e-b679-69c5130f2a6b,663,43,2025-01-20 01:50:40,效果广告,20250120
ea3086c0-6f0f-486e-84ed-848505b89bbb,396,37,2025-01-11 03:35:43,站外广告,20250111
96c54291-2963-4da0-8598-1f3f156348ec,895,20,2025-01-24 21:58:38,站外广告,20250124
161eca61-2f8b-4415-ad97-fa24e5897eac,939,45,2025-01-03 18:42:09,站外广告,20250103
d9f64a02-115e-4483-b3be-b42a02b55b84,402,17,2025-01-31 20:44:42,直播带货,20250131
a046c28c-76ff-4916-97cf-d1be00a403fc,386,83,2025-01-23 02:19:35,站外广告,20250123
53c419e6-06f4-4897-8c29-4d5b6d1878eb,849,95,2025-01-27 04:42:44,推荐算法,20250127
88de8714-7cc0-4e68-8954-b42b6d0bc2e0,687,55,2025-01-30 16:05:41,直播带货,20250130
04995c19-dfa9-4499-a487-073f10268593,185,28,2025-01-12 00:23:19,站外广告,20250112
b5d88e27-f94f-4058-9221-960e389d76c8,141,20,2025-01-31 15:12:14,效果广告,20250131
250b77a0-7605-437c-bb31-d5272eed8a18,553,95,2025-01-10 03:32:49,直播带货,20250110
d4b9545f-7cb2-40aa-9b0a-38abdd072655,785,80,2025-01-02 21:21:56,手淘搜索,20250102
